,num_vehicle,num_vehicle
,sum,sum
car_type,ZEV,non-ZEV
year,,
2010,754,22285376
2011,5857,22282204
2012,18356,22484324
2013,52427,23218150
2014,108939,23790565
2015,166168,24246121
2016,230171,25070512
2017,322762,28095277
2018,448567,28232926
2019,559969,28469818
2020,628473,28037461
2021,827760,29114757
